user_id,session_id,dwell_time_mean,dwell_time_std,dwell_time_min,dwell_time_max,flight_time_mean,flight_time_std,flight_time_min,flight_time_max,up_down_time_mean,up_down_time_std,up_down_time_min,up_down_time_max,id_count,session_duration_sec,keystrokes_per_min,dwell_to_flight_ratio,distance_mean_mean,distance_mean_std,distance_sum_total,speed_mean_mean,speed_mean_std,speed_max_max,click_count_total,click_count_mean,action_count_total,session_duration_sum,session_duration_mean,session_duration_std
2.0,25.5,4.89414148347653,3.860709788557332,0.0243110518928571,16.881561870357142,86.54332567738582,214.36954107085617,-0.0674128791071428,738.8557271410715,43.93720723470933,144.23756384686138,-0.0674128791071428,736.6198699982143,56.42857142857143,143.92233532142856,2017.0269206763105,0.696143744140124,0.0,0.0,0.0,0.0,0.0,0.0,176,9.263157894736842,176,4180.4376,220.02303157894735,387.88801825924656
4.0,39.0,0.1077551020408163,0.0405013017343501,0.0,0.17,0.1004081632653061,0.186896798435142,0.0,0.758,0.1469387755102041,0.2359686956783379,0.0,0.928,49.0,46.605,63.08336015448987,1.0731707317073171,0.0,,0.0,0.0,,0.0,5,5.0,5,45.1,45.1,
19.0,41.5,0.1218139071227606,0.0991407154745174,0.0144999999999999,0.6078333333333333,0.1812182702101357,0.5274313323061804,0.0,4.098166666666667,0.17216772616474,0.5287352115897043,0.0,4.274666666666667,118.33333333333331,49.544,238.2424459289601,0.8965384244339233,0.0,0.0,0.0,0.0,0.0,0.0,82,13.666666666666666,82,300.608,50.101333333333336,57.521326283967646
21.0,44.0,0.1274603174603174,0.1566942600794077,0.0,0.82,0.275968253968254,0.4658911325224287,0.0,1.647,0.1188571428571428,0.2947516645903833,0.0,1.712,63.0,7.579,498.7465364823856,0.4618658690900724,0.0,,0.0,0.0,,0.0,3,3.0,3,21.798,21.798,
24.0,45.0,0.1485719163465642,0.1365339199000476,0.0,0.7050000000000001,0.2505492957746478,0.5852928805042202,0.0,3.3186666666666667,0.1461556978233034,0.3992143402860087,0.0,3.220333333333333,78.66666666666667,25.658,203.91730087335097,0.6100923258874752,0.0,0.0,0.0,0.0,0.0,0.0,32,10.666666666666666,32,70.81400000000001,23.60466666666667,13.075518816985172
25.0,47.5,0.148874463036963,0.2148534177154235,0.025,1.57625,0.4267963973526473,1.826047632419048,0.0,11.49175,0.2869363532301032,1.342094438744823,0.0,11.48525,67.5,123.7035,47.55138667739498,1.1006602584687313,0.0,0.0,0.0,0.0,0.0,0.0,58,11.6,58,388.063,77.6126,98.8817681567234
26.0,49.0,0.1273333333333333,0.1732189552318478,0.0,0.796,0.8275555555555556,2.50999526267242,0.0,12.814,0.4468730158730158,1.813272175823296,0.0,12.683,63.0,28.247,133.8195206570609,0.1538668098818474,0.0,,0.0,0.0,,0.0,4,4.0,4,8.108,8.108,
27.0,49.0,0.132547619047619,0.0878158278918962,0.0,0.611,0.1736190476190476,0.5142616280332061,0.0,2.653,0.1606904761904762,0.3541725835401083,0.0,2.197,42.0,6.749,373.3886501703957,0.7634393856280857,0.0,,0.0,0.0,,0.0,2,2.0,2,6.868,6.868,
31.0,49.0,0.0815384615384615,0.0282407234598985,0.051,0.137,0.0694999999999999,0.1467779956260474,0.0,0.689,0.1054615384615384,0.1847985347927262,0.0,0.819,26.0,7.947,196.30049075122685,1.1732152739346986,0.0,,0.0,0.0,,0.0,3,3.0,3,6.6,6.6,
32.0,49.0,0.083735294117647,0.0475365115438959,0.039,0.238,0.0494558823529411,0.2398901137631548,0.0,1.481,0.0736029411764706,0.2571221406551776,0.0,1.586,68.0,10.872,375.2759381898455,1.6931311329170384,0.0,,0.0,0.0,,0.0,2,2.0,2,8.323,8.323,
