timestamp,1.how_would_you_describe_your_experience_with_the_login_process_using_behavioral_biometrics?,2.did_you_experience_any_discomfort_or_concerns_while_the_system_was_tracking_your_behavioral_data?,3.how_does_the_system’s_response_time_during_login_and_transactions_compare_with_your_previous_experiences?,4.were_there_any_interruptions_or_issues_that_you_faced_during_the_session?,"5.on_a_scale_from_1_to_10,_how_would_you_rate_the_intrusiveness_of_the_behavioral_biometrics_system?",6.how_well_do_you_think_the_system_recognized_your_unique_patterns_compared_to_traditional_methods?,7.did_the_system_provide_real-time_feedback?,8.how_did_the_system_handle_any_errors_or_anomalies_in_your_behavior_patterns?,"9.during_the_session,_were_you_required_to_take_any_additional_steps_for_verification?",10.describe_any_difficulties_you_encountered_while_performing_typical_banking_tasks_during_the_experiment.
2025/05/12 7:14:39 PM GMT+9,Very easy,No,About the same,No,1-3 (Not intrusive),Much better,Yes,Did not notice any errors,No,No difficulties
2025/05/12 9:56:52 PM GMT+9,Very easy,No,About the same,No,4-7 (Moderately intrusive),Somewhat better,Yes,Very well,No,No difficulties
2025/05/12 11:04:12 PM GMT+9,Neutral,No,Much faster,No,4-7 (Moderately intrusive),About the same,Yes,Did not notice any errors,No,No difficulties
2025/05/13 5:58:39 AM GMT+9,Neutral,No,Somewhat faster,No,4-7 (Moderately intrusive),About the same,No,Did not notice any errors,No,Some difficulties
2025/05/13 4:29:02 PM GMT+9,Somewhat easy,No,Much faster,No,1-3 (Not intrusive),Much better,Yes,Adequately,No,No difficulties
2025/05/13 5:16:04 PM GMT+9,Very easy,No,Somewhat faster,No,8-10 (Highly intrusive),Much better,Yes,Adequately,No,No difficulties
2025/05/13 7:43:31 PM GMT+9,Neutral,No,Much faster,No,8-10 (Highly intrusive),Somewhat better,Yes,Very well,No,No difficulties
2025/05/13 8:16:11 PM GMT+9,Somewhat easy,No,Much faster,No,8-10 (Highly intrusive),Somewhat better,Yes,Very well,No,No difficulties
2025/05/13 8:21:24 PM GMT+9,Neutral,Somehow,Much faster,No,4-7 (Moderately intrusive),Much better,Yes,Very well,Yes,No difficulties
2025/05/13 8:41:10 PM GMT+9,Neutral,No,About the same,No,4-7 (Moderately intrusive),About the same,Yes,Very well,No,No difficulties
2025/05/13 10:18:33 PM GMT+9,Very easy,No,Much faster,No,4-7 (Moderately intrusive),Much better,No,Did not notice any errors,Yes,Some difficulties
2025/05/13 10:44:37 PM GMT+9,Somewhat difficult,Somehow,Much faster,No,8-10 (Highly intrusive),Much better,Yes,Very well,No,No difficulties
2025/05/13 11:08:45 PM GMT+9,Very easy,No,Much faster,No,4-7 (Moderately intrusive),Somewhat better,Yes,Did not notice any errors,No,No difficulties
2025/05/13 11:25:51 PM GMT+9,Somewhat easy,No,Much faster,No,8-10 (Highly intrusive),Somewhat better,Yes,Adequately,No,No difficulties
2025/05/14 1:08:01 AM GMT+9,Neutral,No,About the same,No,4-7 (Moderately intrusive),Somewhat better,Yes,Very well,No,No difficulties
2025/05/14 1:45:30 AM GMT+9,Very easy,No,Somewhat faster,No,4-7 (Moderately intrusive),Somewhat better,Yes,Adequately,No,No difficulties
2025/05/14 2:19:00 AM GMT+9,Very easy,Somehow,Somewhat faster,No,4-7 (Moderately intrusive),Somewhat better,No,Adequately,No,Some difficulties
2025/05/14 2:22:07 AM GMT+9,Somewhat easy,No,Somewhat faster,No,4-7 (Moderately intrusive),Somewhat better,Yes,Adequately,No,No difficulties
2025/05/14 3:00:10 AM GMT+9,Very easy,No,Much faster,No,4-7 (Moderately intrusive),Somewhat better,Yes,Very well,No,No difficulties
2025/05/14 4:18:24 PM GMT+9,Very easy,No,Much faster,No,8-10 (Highly intrusive),Somewhat better,Yes,Did not notice any errors,No,No difficulties
2025/05/14 5:38:35 PM GMT+9,Very easy,No,Much faster,No,4-7 (Moderately intrusive),Much better,Yes,Very well,Yes,No difficulties
2025/05/14 6:09:04 PM GMT+9,Neutral,No,Somewhat faster,No,4-7 (Moderately intrusive),Somewhat better,Yes,Adequately,Yes,Some difficulties
2025/05/14 9:02:58 PM GMT+9,Very difficult,Somehow,Somewhat faster,No,4-7 (Moderately intrusive),Somewhat better,Yes,Very well,No,No difficulties
