user_id,distance_mean_mean,distance_mean_std,distance_sum_total,speed_mean_mean,speed_mean_std,speed_max_max,click_count_total,click_count_mean,action_count_total,session_duration_sum,session_duration_mean,session_duration_std
2.0,0.0,0.0,0.0,0.0,0.0,0.0,176,9.263157894736842,176,4180.4376,220.02303157894738,387.88801825924656
4.0,0.0,,0.0,0.0,,0.0,5,5.0,5,45.1,45.1,
19.0,0.0,0.0,0.0,0.0,0.0,0.0,82,13.666666666666666,82,300.608,50.101333333333336,57.521326283967646
21.0,0.0,,0.0,0.0,,0.0,3,3.0,3,21.798,21.798,
24.0,0.0,0.0,0.0,0.0,0.0,0.0,32,10.666666666666666,32,70.81400000000001,23.60466666666667,13.075518816985172
25.0,0.0,0.0,0.0,0.0,0.0,0.0,58,11.6,58,388.063,77.6126,98.88176815672341
26.0,0.0,,0.0,0.0,,0.0,4,4.0,4,8.108,8.108,
27.0,0.0,,0.0,0.0,,0.0,2,2.0,2,6.868,6.868,
31.0,0.0,,0.0,0.0,,0.0,3,3.0,3,6.6,6.6,
32.0,0.0,,0.0,0.0,,0.0,2,2.0,2,8.323,8.323,
33.0,0.0,0.0,0.0,0.0,0.0,0.0,29,7.25,29,2556.719,639.17975,799.7677235732781
34.0,0.0,0.0,0.0,0.0,0.0,0.0,19,9.5,19,1570.839,785.4195,9.391085160938502
35.0,0.0,,0.0,0.0,,0.0,66,66.0,66,1092.936,1092.936,
36.0,0.0,0.0,0.0,0.0,0.0,0.0,98,32.666666666666664,98,1775.4030000000002,591.801,833.4585864090669
37.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5.0,10,191.563,95.7815,135.4554963244386
38.0,0.0,0.0,0.0,0.0,0.0,0.0,36,18.0,36,2012.915,1006.4575,247.21089466384763
39.0,0.0,0.0,0.0,0.0,0.0,0.0,230,115.0,230,1930.705,965.3525,111.63872572051321
40.0,0.0,,0.0,0.0,,0.0,52,52.0,52,966.251,966.251,
41.0,0.0,,0.0,0.0,,0.0,35,35.0,35,3235.308,3235.308,
42.0,0.0,0.0,0.0,0.0,0.0,0.0,37,12.333333333333334,37,2174.354,724.7846666666666,623.2905894607533
43.0,0.0,0.0,0.0,0.0,0.0,0.0,69,13.8,69,2206.693,441.33860000000004,316.35541672350104
44.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3.2,16,245.231,49.0462,86.9836239081817
45.0,0.0,0.0,0.0,0.0,0.0,0.0,47,23.5,47,546.156,273.078,386.19061118572
46.0,0.0,0.0,0.0,0.0,0.0,0.0,39,13.0,39,2020.828,673.6093333333333,550.4902514135317
47.0,0.0,0.0,0.0,0.0,0.0,0.0,16,8.0,16,1926.792,963.396,1354.1504981655473
48.0,0.0,0.0,0.0,0.0,0.0,0.0,28,7.0,28,728.77,182.1925,177.60056420800015
49.0,0.0,,0.0,0.0,,0.0,49,49.0,49,1620.125,1620.125,
50.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3.6,18,803.988,160.79760000000002,220.29391625462563
51.0,0.0,,0.0,0.0,,0.0,41,41.0,41,1318.895,1318.895,
52.0,0.0,,0.0,0.0,,0.0,30,30.0,30,1152.98,1152.98,
53.0,0.0,0.0,0.0,0.0,0.0,0.0,52,17.333333333333332,52,4444.842,1481.6139999999998,1565.7226636195824
54.0,0.0,,0.0,0.0,,0.0,5,5.0,5,575.489,575.489,
55.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2.25,18,1016.3820000000001,127.04775000000001,217.30338647729354
57.0,0.0,0.0,0.0,0.0,0.0,0.0,193,96.5,193,2335.927,1167.9635,1141.5666225764048
58.0,0.0,0.0,0.0,0.0,0.0,0.0,20,10.0,20,1528.305,764.1525,811.1568369313669
