"Timestamp","1.How secure did you feel using the behavioral biometrics compared to traditional methods?","2.Would you recommend the integration of this behavioral biometrics system to other users?","3.How likely are you to use this system if it becomes a standard security feature for internet banking?","4.What was the most positive aspect of using this new system?","5.What was the least satisfying aspect of using this new system?","6.On a scale from 1 to 10, how would you rate your overall satisfaction with this behavioral biometrics system?","7.Did using the system change your perception of security in internet banking?","8.What improvements or additional features would make you more comfortable using this system?","9.How confident are you that the behavioral biometrics can protect your account from
unauthorized access?","10.Would you prefer this behavioral biometric system to be optional or mandatory for all your internet banking activities?"
"2025/05/12 9:14:23 PM GMT+9","Much more secure","Definitely","Very likely","Improved security","Complexity","4-7 (Moderately satisfied)","Yes, I feel more secure","Less intrusive data collection","Neutral","Optional"
"2025/05/12 10:20:40 PM GMT+9","Much more secure","Probably","Very likely","Improved security","Complexity","4-7 (Moderately satisfied)","Yes, I feel more secure","Less intrusive data collection","Somewhat confident","Optional"
"2025/05/12 11:06:33 PM GMT+9","Somewhat more secure","Probably","Likely","Ease of use","Intrusiveness","8-10 (Very satisfied)","Yes, I feel more secure","Better error handling","Somewhat confident","Optional"
"2025/05/13 6:05:35 AM GMT+9","Less secure","Probably","Neutral","Ease of use","Complexity","1-3 (Not satisfied)","No change","More transparency about data usage","Not confident at all","Not sure"
"2025/05/13 6:13:39 AM GMT+9","About the same","Probably","Neutral","Ease of use","Complexity","4-7 (Moderately satisfied)","No change","Less intrusive data collection","Somewhat unconfident","Optional"
"2025/05/13 6:15:50 AM GMT+9","About the same","Probably","Neutral","Ease of use","Complexity","4-7 (Moderately satisfied)","No change","Less intrusive data collection","Neutral","Optional"
"2025/05/13 4:35:44 PM GMT+9","Somewhat more secure","Definitely","Likely","Speed","Response time","4-7 (Moderately satisfied)","Yes, I feel more secure","Faster response times","Somewhat confident","Optional"
"2025/05/13 5:48:57 PM GMT+9","Somewhat more secure","Definitely","Very likely","Ease of use","Intrusiveness","8-10 (Very satisfied)","Yes, I feel more secure","Faster response times","Somewhat confident","Mandatory"
"2025/05/13 7:45:16 PM GMT+9","Less secure","Probably","Unlikely","Speed","Lack of trust","1-3 (Not satisfied)","No change","More transparency about data usage","Somewhat unconfident","Optional"
"2025/05/13 8:18:21 PM GMT+9","About the same","Definitely","Likely","Ease of use","Intrusiveness","8-10 (Very satisfied)","No change","More transparency about data usage","Neutral","Optional"
