"Timestamp","1.How frequently do you engage with internet banking services each month?","2.What types of devices do you commonly use to access internet banking services?
(Select all that apply)","3.Describe any security concerns you have with your current internet banking system.","4.Have you had any security training or education regarding safe practices for internet
banking?","5.What methods do you currently use to authenticate your identity with your bank
online?","6.Rate your level of trust in the current security measures provided by your internet
banking service on a scale of 1 to 10.","7.Are you familiar with the concept of behavioral biometrics?","8.What are your expectations from a security system for internet banking in terms
of privacy?","9.Have you ever abandoned a transaction because of complicated or time-consuming
security processes?","10.How willing are you to try new technologies for securing your online banking activities?"
"2025/05/12 6:41:05 PM GMT+9","6 to 20 times","Laptop","None","Yes","Passwords","4-7 (Moderate)","Yes","Moderate expectations","No","Very willing"
"2025/05/12 9:32:38 PM GMT+9","6 to 20 times","PC","Fraudulent transactions","Yes","SMS OTP (One-Time Password)","4-7 (Moderate)","Yes","Very high expectations","Yes","Very willing"
"2025/05/12 10:31:36 PM GMT+9","Less than 5 times","Laptop;Smartphone","Data privacy","No","Passwords;SMS OTP (One-Time Password)","4-7 (Moderate)","No","Moderate expectations","Yes","Very willing"
"2025/05/13 5:34:09 AM GMT+9","6 to 20 times","Smartphone;Laptop","Identity theft","No","Passwords","4-7 (Moderate)","Somehow","Very high expectations","Yes","Very willing"
"2025/05/13 12:47:57 PM GMT+9","Less than 5 times","Smartphone","None","No","Passwords","8-10 (High)","No","Very high expectations","No","Somehow willing"
"2025/05/13 3:54:49 PM GMT+9","Less than 5 times","Smartphone","None","No","Passwords;SMS OTP (One-Time Password)","4-7 (Moderate)","No","Very high expectations","No","Very willing"
"2025/05/13 4:38:33 PM GMT+9","More than 20 times","Laptop","Data privacy","Yes","SMS OTP (One-Time Password)","4-7 (Moderate)","Yes","Very high expectations","Yes","Very willing"
"2025/05/13 5:18:44 PM GMT+9","6 to 20 times","Smartphone","Data privacy","No","Biometrics (Fingerprint, Facial Recognition)","4-7 (Moderate)","Somehow","Moderate expectations","No","Somehow willing"
"2025/05/13 7:15:34 PM GMT+9","Less than 5 times","Laptop","Identity theft","Yes","Passwords;Biometrics (Fingerprint, Facial Recognition);SMS OTP (One-Time Password)","8-10 (High)","Somehow","Very high expectations","No","Somehow willing"
"2025/05/13 7:15:55 PM GMT+9","More than 20 times","Smartphone;Laptop","Fraudulent transactions","No","Passwords;SMS OTP (One-Time Password)","4-7 (Moderate)","Yes","Very high expectations","Yes","Somehow willing"
"2025/05/13 7:18:06 PM GMT+9","6 to 20 times","Smartphone","Identity theft","No","Biometrics (Fingerprint, Facial Recognition)","4-7 (Moderate)","No","Moderate expectations","Yes","Very willing"
"2025/05/13 7:19:08 PM GMT+9","More than 20 times","Smartphone;Laptop;PC","Data privacy","Yes","Passwords;SMS OTP (One-Time Password)","8-10 (High)","Yes","Very high expectations","Yes","Very willing"
"2025/05/13 7:21:32 PM GMT+9","Less than 5 times","Laptop","Fraudulent transactions","No","Passwords;SMS OTP (One-Time Password)","4-7 (Moderate)","Yes","Moderate expectations","Yes","Somehow willing"
"2025/05/13 7:22:15 PM GMT+9","6 to 20 times","Smartphone","Data privacy","No","Passwords;Biometrics (Fingerprint, Facial Recognition);SMS OTP (One-Time Password)","4-7 (Moderate)","Somehow","Moderate expectations","Yes","Very willing"
"2025/05/13 7:23:10 PM GMT+9","Less than 5 times","PC","Identity theft","No","Passwords","4-7 (Moderate)","Yes","Low expectations","No","Very willing"
"2025/05/13 7:54:34 PM GMT+9","6 to 20 times","Smartphone","Fraudulent transactions","Yes","Passwords;Biometrics (Fingerprint, Facial Recognition);SMS OTP (One-Time Password)","8-10 (High)","Yes","Very high expectations","Yes","Very willing"
